category,sentiment
Baking Ingredients,0.7717
Baking Mixes and Icing,0.16138
Cat Food (main meal),0.43067377
Cereal Bars / Breakfast on the Go,0.425019048
Chilled Meat & Poultry,0.48087
Chocolate,0.34978947
Chocolate & Sweet Spreads,0.275716981
Chocolate All Year Round Boxed,0.356412115
Chocolate Block,0.361722022
Chocolate Desserts,0.720366667
Chocolate Funsize,0.385042041
Chocolate Multipack,0.395927893
Chocolate Pouch,0.421568049
Chocolate Singles,0.330915572
Christmas,0.10305
Coffee,0.044731579
Confectionery Seasonal,0.321957491
Dog Food (main meal),0.430203315
Easter,0.466442169
Easter Cakes,-0.1181
Energy,0.64044
Fruity Confectionery,0.304528571
Gum,0.271707692
Halloween,0.341683333
"Herbs, Spices & Seasonings",0.2509875
Hot Chocolate,0.214435802
Ice Cream,0.318527523
Kids Yogurts,0.425391667
Milkshake Mix,0.5769
Mousses & Smooth Desserts,0.2785125
Rice,0.45990625
"Small Cakes, Bites & Slices",0.376222222
Sponge Pudding,-0.22245
Suncare,0.50225
Sweet Biscuits,0.391916612
Sweet_Biscuits,0.335742169
