category,sentiment
Ambient Asian cooking,0.69385
Baking Mixes and Icing,0.381417857
Breakfast Cereals,0.054804687
Cat Food (main meal),0.535976
Chocolate,0.399823285
Chocolate Funsize,-0.0274
Chocolate Multipack,0.460382887
Chocolate Pouch,0.4672
Chocolate Singles,0.4404
Christmas,0.261189286
Coffee,0.380848792
Confectionery Seasonal,0.430494382
Dog Food (main meal),0.307516667
Dog Treats,0.435698077
Easter,0.20548
Fresh Cream & Custard,0.331533333
"Frozen Desserts, Fruits & Pastry",0.636942857
Frozen meals/Frysta måltider,0.3716
Fruity Confectionery,0.353062593
Gum,0.3636275
Halloween,0.424404167
Hot Chocolate,0.514862295
Ice Cream,0.387831094
Kids,0.305293182
Male Wet Shaving,0.3917
Mints,0.504688679
Water,0.409865395
