,reviewid,retailer,productNO,rating,subject,text,label,category
0,cdae9680a393439fa9e17c8453896373,Ocado,473259011,5,A beautiful rum - no rough edges,I do not often drink rum as I find that many of them are very rough and hit the back of your throat in a very unpleasant way.,['flavour'],Rum
1,705c1b5d2ac7959d7e3ec81ef5f2a67b,Petco-US,2678317,5,Greet dog food,"My dog was getting skin irritations from Purina, so we decided to switch to this brand.",['functionality'],
2,9d573a324cb0b8da4278b5861585071b,Walmart-US,104122189,5,,The chocolate and caramel and everything just amazingly blends.,['flavour'],Chocolate
3,2ce39180c0382df3232da3e8cf4cf0d2,Amazon-UK,B07FW3TTCH,1,Disappointing,I returned the item.,[],Chocolate All Year Round Boxed
4,cf71ef0c72b2d430e51062559c9d4241,Amazon-Fresh,B019XL2MUC,1,Dog Meat - URGH,These are the worst burgers I have ever tasted.,['flavour'],Frozen Meat & Poultry
5,318c1c6c8b7aefcbdf2f6a5218072bb8,Amazon-UK,B016IP6A86,3,Mackerel fillers,As described not very hot,['flavour'],Tinned Fish
6,38d5b8d36da164b5bb52ed75118195b0,Chewy-US,94106,5,My cats love these.,So I decided these would be a great treat for her.,['flavour'],Cat Treats
7,ed078aff61360825980bda749d986c3a,Master-Of-Malt,2137,4,Smooth and rather tasty but with a moonshine feel. Worth a glass or two.. or three ;),"So first of, I am more into my Irish Whisky then I am into Scotch.",['flavour'],Fruity Confectionery
8,cb433d83fe406d317b7cbdc9d61a76a3,Jet-US,c7186d967980419881c72e1beb052535,5,Really nice assortment,"3 different blends, dark, mild, and milk with carmel.",['flavour'],Chocolate
9,f982ef4371b24e2229128f318bfe4c2a,Morrisons,394050011,5,Lovely,"Had for the first time, really enjoyed - loads of flavour and nice chunky veg.","['flavour', 'ingredients']",Chilled Vegetarian / Meat Free
10,cabb039e2e2886e55772f1875e0ef4bd,Sainsburys,7989676,3,waste of money,I do not feel any differences between when I use it and when I do not.,['functionality'],Fabric Conditioner
11,bdeaebc724bca4e1031d97ceb48d6b25,Ocado,515501011,5,Quick supper,She liked it.,['flavour'],
